O/F,LOX/LH2,LOX/GH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/GH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/LH2,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/LH2,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
0.05,,,149.78640856944347,,140.30250742989654,157.12015803762722,236.55282963589798,224.41839219786465,228.4359816297076,,150.99216646030658,,,150.33425527497496,,141.17716387784156,157.77007238966263,236.95418509506388,224.82379453950207,228.99763914994648,,151.48734492181924,,,141.67584097729184,,127.5430862033601,147.2917546728232,230.10604928003013,218.947224559964,219.4254568166913,,143.86446444288603,,,144.77359436918124,,132.67572199578441,151.08267179015442,232.79670494515554,220.93849429427,222.90358631972035,,146.52788015062686,,,143.80835246423905,,131.15159789808303,149.5630064369771,231.46518635666024,220.14826734852875,221.2403061426972,,145.86572231702596,,151.36629339679837,,142.12684045318395,158.91994993321308,238.44593606586756,226.1995649545607,228.5124213125595,,152.63246611912146,,151.63643210229046,,142.76812960864058,159.26430704198305,238.44336210025156,226.22474976860164,229.23793022955587,,152.83353961691392,,,142.84507930867187,,129.8854003875867,148.6260394960591,231.1114477927318,219.57298759755045,220.90196329534564,,144.88954247807203
0.0806949806949807,,,158.20457101836686,114.71975523477496,153.4856457143817,166.57854595966154,240.73089059120463,228.98972893669776,237.05531258078105,,158.8555935529143,,,158.9865013748328,116.47231235149486,154.60574774502535,167.4509791554218,241.33411412961496,229.5982089687432,237.932020912303,,159.59721446883006,,,146.515324369678,,135.1764196237042,152.94740972206827,232.24641237338426,220.62975580261315,222.51686383284195,,148.1899222241177,,,151.006345812806,,142.3948276522759,158.294090425228,235.53937018969611,223.68337224194164,228.13710721245508,,152.19087392374888,,,149.68927476768138,,139.57783463956443,156.23430420418376,234.0336184752899,222.44936102918035,225.40680172892706,,151.19512422000432,,160.6446131703371,,156.04380213033957,169.2571013789816,243.99548962279292,232.0269901606784,237.06811820597346,,161.4935890635866,,161.00023569017054,114.38020649981287,156.80254897387735,169.65439491027274,243.84461340068833,231.9528012134091,238.25669517284274,,161.7403570505037,,,148.2206927592237,,137.9201374675392,154.8385237795265,233.4041987937076,221.5667865943971,224.92613658919964,,149.72093669054888
0.11138996138996139,,,165.6336407318735,132.17897484673085,163.82743721246518,174.43090107216028,244.50610327184972,233.1345478008568,245.45540522972283,108.12136975186215,165.9647431660101,,,166.61876206116605,133.74599224600826,165.09768966596303,175.48737467086033,245.3168161404753,233.9370578817733,246.64740469778187,110.53074678326962,166.92166357315503,,,150.8623272353984,,142.1364528594602,157.89006344390612,233.85696211423135,222.20191892723562,225.57761408341634,,152.19570465983793,,,156.54341840115822,111.61256567275286,151.0346057904846,164.43767806917563,237.73127695126078,226.2168531411718,233.29487243041882,,157.39299734141767,,,154.93832211682337,109.63585576475431,147.51373187457835,162.02150051275174,235.91631010413442,224.55948549980235,229.49593067233232,,156.10279147769376,,168.93936300034716,130.82716945054483,167.00590049748075,177.93511143564885,249.30418252598813,237.56121960837567,245.36947454205824,130.29643588834386,169.66615453745092,,169.33598672441053,133.53353902307947,167.78581102154965,178.33950109235872,248.93206378213324,237.3298532615565,247.0117670497136,126.34139061443696,169.89454500649902,,,153.03450260291166,,145.4360661013839,160.22931779433276,234.91853211515235,223.4086216895026,228.8935399775506,,154.16064808443875
0.1420849420849421,,,172.32377339425813,144.0550284950134,172.2044178069039,181.19155179870506,247.95802956533555,236.92153433240424,253.56370992906753,125.64405528979943,172.43025249742806,,,173.4958740861443,145.89715020033395,173.60126672614078,182.3956685226336,248.93599983710618,237.8894138754777,255.04204267955038,127.44559046217005,173.575956114675,,,154.83401842863952,,148.3327343617427,162.25720425629473,235.05190524253598,223.6960739388969,228.56937783929598,,155.93276800370305,,,161.56734898680506,125.66700320064025,158.2663574727021,169.77202663431706,239.75941696770133,228.55103529120072,238.3270847038589,,162.18209702798276,,,159.71115767256435,123.32455985960411,154.4833207529268,167.09998582218654,237.5182482570777,226.50083869190283,233.4696991667138,,160.61020177421864,,176.5386377998375,146.07162925293028,175.9652005389741,185.4873655628092,254.40603976139695,242.8656708014798,253.35295414591957,144.95001709321863,177.27209397525138,,176.92187049312085,148.39863928258842,176.74667119245333,185.86573692137566,253.74652434488402,242.37511489576687,255.42728236641636,141.8572408175371,177.4219113348674,,,157.39696740986216,118.00945429602629,152.05387377885387,164.9445683098666,236.2840458867764,225.10419609553392,232.77020498615235,,158.28223119098215
0.17277992277992277,,,178.40509500334403,154.87810740657386,179.29448066933062,187.13484708485825,251.0966240521422,240.37689526941688,261.32110630268403,136.45412966631068,178.32907828091282,,319.10432358263824,179.7431260627023,157.1192297455261,180.79345489790327,188.47600674526407,252.24238016482798,241.50872034601352,263.0477690036323,138.22715465746052,179.64140259511436,,,158.4899823859301,116.18368913844917,153.73388898124767,166.14732123382637,236.1721184909137,225.08694010668475,231.50881894302802,,159.420799597926,,,166.169325677811,134.42761373861907,164.40274171922135,174.4837140966573,241.63123933796365,230.71859711063502,243.1961385384485,113.85855440301937,166.62316503812252,,,164.0734646057145,131.35900323709916,160.51146469714075,171.62105220653896,238.98245302885118,228.3041736600851,237.3191613365591,109.96498308818175,164.78976500302753,,183.59601374345468,159.87383961983994,183.64635090151612,192.23051082716378,259.3625700322839,247.98299567106818,261.0057705266388,156.0533542260877,184.4239768808076,,183.91777732668928,161.67093319175567,184.4185022274391,192.5535991639258,258.3339349441507,247.16184827458665,263.4681882079853,153.69101462821303,184.4017652312318,,,161.39849689067893,127.5732275412886,157.7672266058536,169.14369495928682,237.55041454875789,226.6800449707838,236.55407955783627,102.87597328559134,162.10421795562098
0.2034749034749035,,324.4737288522582,183.97401969004065,165.73240593081078,185.5044250841388,192.4456556692457,253.98875692754126,243.5318417712371,268.6451268955679,145.72662930511075,183.71271335095074,,326.1386087287817,185.45987933714275,168.23014844245247,187.1182588561533,193.9089027159327,255.28020677198074,244.8295501324976,270.5988592920218,147.77602728329592,185.17363825777977,,,161.88760819996588,125.37305810889166,158.45725279573668,169.66051980401596,237.2243874157492,226.39370441168637,234.36075198854752,,162.7054145185693,,,170.42067372252984,142.0148753998698,169.69574553411726,178.71006394157519,243.36412896572895,232.72682927141688,247.91356459718682,124.29602983590392,170.73454669830062,,,168.10143451851062,137.78196725608026,165.76273370933248,175.69483234430353,240.33554710417815,229.9630430143432,241.04520255344298,120.393433091717,168.66910648692948,,190.21051750315362,171.30486829942794,190.46420029036935,198.34823222962467,264.1971000557057,252.94626121939692,268.29169778700174,164.62538205524876,191.1625964037377,,190.41585194798455,172.9913730766646,191.22849643014743,198.59857317815016,262.7189705951325,251.72103507345983,271.1007128128262,163.19475367403274,190.8922200501923,,,165.11039784425316,133.9033851434614,162.73943235910733,172.91431945984232,238.71758387246263,228.12662470686863,240.22803341821745,115.74031225391641,165.65425663356075
0.23416988416988416,,330.64345027581,189.07575127469414,174.861614160286,191.05660408954427,197.2329548194679,256.64456401619543,246.44899730653032,275.468994755107,154.5975419584815,188.6437359371144,,332.4614212834641,190.6846221196389,177.30141924319975,192.778376140107,198.80639243535006,258.07460476367294,247.87987565345128,277.6063850533294,156.98078569091982,190.2391121144027,,,165.05767113679744,132.20116481554294,162.64426502060988,172.86272413471957,238.22706174379658,227.63512424223362,237.13024772952792,108.5881503932028,165.78131656591364,,310.8493672414743,174.36156699586286,149.09517056851166,174.36965136380803,182.5390376330701,244.96109688881654,234.58069240506035,252.44699487672915,131.76438201488907,174.55494577921294,,,171.826507633656,143.75134825093068,170.4120123753597,179.3901388701308,241.59370803973428,231.51505059090857,244.62949163932927,127.15229864153386,172.27056470876485,,196.44838007098429,180.72489868007665,196.68064402953843,203.9538299042162,268.9151540016447,257.7771103038884,275.19793516434515,171.03396126190955,197.58231595938867,,196.46989567599718,182.26404083398478,197.41080355188078,204.1056872607268,266.9302517398082,256.0764907955261,278.286512658421,170.6820358192442,196.97441993931795,,,168.54317045749528,139.7303744658966,167.11524211803695,176.3384903485703,239.79611847286785,229.47890570742018,243.78211026971616,123.33891440347841,168.96489416396443
0.2648648648648649,,336.21277817054283,193.76404614022488,182.43881935912967,196.1009168101078,201.58712986216605,259.0944839123366,249.14915567739166,281.76505118173606,163.039776711983,193.1789391156696,,338.160224524656,195.492547687178,184.84006776189426,197.93235096240818,203.2613356771595,260.67124739746225,250.70700812470943,284.0565570879823,165.48898797342193,194.88829557238452,,,168.02352858399416,138.04256575651846,166.3709760859871,175.788922603438,239.16135498193165,228.8062478948458,239.81383613310197,118.21509277392954,168.68074656829668,,315.1051230743952,178.02355474679044,155.94922472828716,178.5526342204912,186.04736115472855,246.44833417972586,236.3190435151127,256.7970387704972,138.0747617944612,178.10355460163873,,306.3389993326329,175.29748837350434,149.51904147396664,174.56700739680758,182.7863135219249,242.79778314495354,232.9493646571852,248.07703838175223,132.95510758430387,175.62969751825847,,202.37225159842527,188.60626220120318,202.42526650991377,209.13148533225595,273.53989491504046,262.49836291928045,281.6970528996178,176.32837130512408,203.71292142551766,,202.14301692216463,190.0188372424716,203.10678431542084,209.1700025285834,270.986469753909,260.27065433878886,284.9853991364391,176.52985002318488,202.66786766459072,,306.6287282962074,171.74028289462277,145.27900004008958,171.02495206044017,179.4652922385972,240.78310742890636,230.73597659945312,247.2105284611093,129.46978129457622,172.05834703961185
0.29555984555984555,,341.21769495263914,198.08655107687136,188.87655938221195,200.72167691560585,205.57097252427596,261.40500977611384,251.647865585133,287.5323959003702,170.71119067700516,197.36881507880864,,343.28219372883814,199.92460479618703,191.25534554822016,202.65469345492423,207.33846735909736,263.1033313881944,253.34095774675401,289.9683990605383,173.283946308608,199.18360661624146,,,170.8292062006436,143.30250896768325,169.7353832025318,178.49957580981194,240.04448534187037,229.91301712963983,242.4102553669209,124.99251425608111,171.40988608949763,,318.99140827702263,181.44210048627784,162.84800716893113,182.35241428024239,189.2612569489388,247.8255576262261,237.93155026242565,260.94337274690537,144.00304568879017,181.42359911030218,,309.5696209399755,178.5325411913509,155.0762029510459,178.32299424641522,185.90604954453974,243.92889822806592,234.28854775130307,251.38885641310117,138.05793644825135,178.7620660414014,,208.02676789067976,195.4028226565009,207.7970781790454,213.95883069773288,278.057098128391,267.10575295961024,287.7788942635184,181.1029626344471,209.59462298638482,,207.46284641053197,196.7080059533964,208.3896851367457,213.84791012060336,274.9255053318642,264.311062812855,291.21336251709727,181.87614371706326,208.04668532488236,,309.9240205854463,174.73296753214754,150.61345159420176,174.545512864939,182.3508829641089,241.71129418418292,231.895543381174,250.5104572189354,134.60142422781644,174.9461121267557
0.3262548262548262,,345.6981315397484,202.08569305836858,194.47241061483146,204.98296523876672,209.23474218775846,263.64254365635514,253.9946884428656,292.83104491376804,177.90643536367114,201.237553819723,,347.84270871678984,204.02539407344992,196.86562436657064,207.0098288504596,211.07909266286663,265.4640203456164,255.7942371005398,295.38150693660765,180.65720872043218,203.16129180507536,,305.59159625310275,173.45655575293884,148.22621081903483,172.80993832143477,181.00397819479366,240.88106555503848,230.96085863603278,244.91970979076703,130.1093646128272,173.99028925654227,,322.53391115749605,184.6315358653547,168.83140770139465,185.8438142855995,192.22521003425476,249.11626995833677,239.43011381595238,264.85100392547054,149.67010939473766,184.52092542932286,,312.49801860391096,181.56340935261454,160.55986313576042,181.75569613239978,188.78141716478382,245.00582859830814,235.54214197798922,254.56796076642894,142.7795589868927,181.69799719175413,,213.45012652025125,201.4131655746914,212.8522687975013,218.48176184198397,282.4491832743826,271.6171465097903,293.47591159543555,185.93197577735853,215.2695437652295,,212.4831812383945,202.63547023604343,213.3327194303343,218.19374702647264,278.7215879591958,268.209452600373,297.00325147301356,187.30040317444767,213.14062529898553,,312.92178588409297,177.53206239400555,155.80576424530528,177.7688910360873,185.0074296298313,242.56404290371592,232.97763943365538,253.67500395138035,139.34438532054097,177.65494219985928
