O/F,LOX/LH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
0.05,,159.49024780699986,,147.97889909862135,165.94445742746373,249.35212152426175,237.79181190015808,239.75457458320327,,161.19203044091938,,160.0814319253712,,148.78873636895727,166.65911948947743,249.84198966325096,238.21541587450437,240.30852973330832,,161.7215492626481,,,150.53117941602574,,133.76186373976327,155.02807631169895,241.28029939053272,231.94398647409471,230.71692352539173,,153.52255989975447,,,153.97329014597756,,140.0628873163481,159.23353856591973,244.50689856521348,234.0851763730233,234.20188948572945,,156.39437882093415,,,152.83913279128163,,138.68441704817235,157.50908708112368,242.90243171833652,233.27225811233808,232.57087467875635,,155.64905733166353,161.14487834104006,,148.88656729238116,167.80663255245886,250.4016461084648,239.53033867465948,239.87971665240292,,162.8973922345619,161.4640518168552,,149.81060269559106,168.22973363267585,250.7938251989686,239.59516955339063,240.59808044476264,,163.1220098307492,,,151.82011462499617,,137.1306566129842,156.51528665309925,242.57934699994607,232.6493500677009,232.20153864125484,,154.62264835947434
0.0806949806949807,,168.59107235052838,,161.4733282211753,176.43142376174484,254.70566132758069,242.6460933075838,248.24462237166446,,169.56153736006252,,169.42969331490391,,162.7202628154448,177.39660009330342,255.34594969716915,243.29392914077917,249.1243533539022,,170.34885536823265,,,155.82909085606818,,142.56115369724043,161.25215937678016,243.88227837888763,233.71181314182607,233.74402027037732,,158.12261977531648,,,160.76901346346725,,149.91924146144004,167.22113616033502,248.49909374491128,236.99634134637122,239.34865716285765,,162.4293963212521,,,159.2432267003563,,147.5231176886184,164.85212531590847,246.25620949401855,235.72757894674737,236.6839744805919,,161.3329216985344,171.12986494874298,,164.17445512425442,179.224095569418,257.55853538769844,245.57468049027415,248.3461152789101,,172.27786299570616,171.53200783666864,,165.0629218967836,179.71139686723575,257.75970649518655,245.58812299890212,249.51448394870994,,172.5644666789913,,,157.69965107730582,,145.7218437030873,163.37490501080563,245.70640283782396,234.772845012151,236.13821779178318,,159.77065849171564
0.11138996138996139,,176.54429050979303,140.2094118267771,173.0574346478588,185.0684403442998,258.7583635049732,247.07222946704383,256.4820674877064,,177.1149204030731,,177.59892360839615,141.93539252339835,174.48453797407933,186.22017002528028,259.600875895739,247.92283293306687,257.66718773463504,,178.1283186458769,,,160.5537361485233,,149.44021565958448,166.7155495034105,246.16853342171277,235.3688552861041,236.71719935435823,,162.37269278573729,,,166.75153142058008,,158.7449761246396,174.03089345482738,251.5171074826038,239.68571544786795,244.3889583424235,,167.9468711303122,,,164.9258581668151,,155.17927470754788,171.23156626367202,249.0702294761978,237.99030197210163,240.69418373837433,,166.53468855282776,179.95918862341415,137.45983717935437,176.41966179837527,188.7070032535218,263.2631684792703,251.29732302824362,256.52301547741433,137.8330750901883,180.8794155687408,180.40775173013049,140.64283479723287,177.35652619348463,189.1997046196754,263.0512294382207,251.18931520413358,258.12498339275083,133.80383181319368,181.1733814744771,,,162.91283406284518,,152.99850778373795,169.33235597235154,248.23222618408516,236.73505716779223,240.00440144828056,,164.49601124956018
0.1420849420849421,,183.6719241724199,152.63374849620868,182.46100489647753,192.4232741821721,262.46433733253866,251.12165510024,264.39903993396587,133.7910291805652,183.98115805575213,,184.9200085196591,154.51754504333766,184.00329473676837,193.73331378063648,263.491994741279,252.15690570297278,265.867205457363,135.72788484219467,185.19415554275292,,,164.83121384492304,,155.7228617660647,171.5468718076669,248.1339190369015,236.92528161766708,239.62431369673308,,166.3236318637417,,,172.13322198616956,131.94545206151443,166.80491127466874,179.91633425063094,253.68372404355847,242.17619451928007,249.28886255920384,,173.02711317234142,,,170.04884331231642,129.61609043861478,162.4299650933292,176.83256256148618,251.25398624895163,240.08119014191746,244.5846701768422,,171.32302872860865,187.9892097498382,153.38687265272404,186.41810701238686,196.87627943327686,268.48848089366595,256.75593855348245,264.3607731535125,153.91561694546292,188.86211381735154,188.4459052442121,156.3180156220101,187.3417585930135,197.3470652009348,268.04930080315876,256.4564886987414,266.37238429795485,150.37102119727493,189.09966461509129,,,167.6131794929833,123.55327170612684,159.85508146717592,174.55600545165004,250.0481293036859,238.55197263222223,243.77802110539972,,168.85951432406122
0.17277992277992277,,190.14133589548337,163.62902082004697,190.303308298623,198.85930157263795,265.86351526622656,254.83716645398474,271.9671103273842,145.039472548268,190.24793551803256,,191.56335245443645,165.83002794467797,191.9458794130402,200.3110786424438,267.06179590924546,256.0415963302746,273.6968402531833,146.91298056599805,191.63776198387097,,,168.74994520920438,,161.69465276148392,175.85147980802813,249.73159211791253,238.38999195695905,242.45608714541095,,170.01257493787278,,,177.04255744798124,142.73088185492102,173.69536713535285,185.08301115901685,255.69150653352034,244.4874178508567,254.02716272245067,119.34255990250077,177.72518781989922,,,174.72031146915472,139.8281923718727,169.11688911465623,181.80051165035124,253.00255518985708,242.01816858464733,248.34407958785,115.39847606520796,175.74926294403232,195.40985495823227,167.15581893685282,194.84745905226993,204.11816627556428,273.532845737393,261.99691890541123,271.84089511411844,165.87139868520853,196.33258526497258,195.82882513085363,169.41579630436652,195.7478001392008,204.5463042313577,272.7978033852199,261.4371283065099,274.2355904474793,163.12154383210867,196.44184737973427,,,171.90314792939282,134.8755822370075,166.2050035626682,179.1806213655159,251.42256640999238,240.23752675486614,247.44371764649725,,172.9052927195146
0.2034749034749035,,196.05470018262378,173.84862150600426,197.06787810259806,204.59560301259205,268.9899345562849,258.2552889981133,279.1817225300535,154.72743765666738,195.98438507926048,,197.6331985193288,176.5244024257886,198.81459053489817,206.1759099218355,270.34648685075024,259.6156706338436,281.152878079756,156.83209213875023,197.53148229824842,,,172.3720029503343,131.30707960720352,166.97176107279975,179.71719807408977,250.8748810229906,239.77083446203008,245.20605263385687,,173.46809066900676,,,181.561058817967,150.45543518673844,179.64077140674405,189.68684010448197,257.55578901750846,246.6364051336498,258.59320834981827,132.1939231687065,182.0827989899589,,,179.01464011661025,146.3169131549222,174.985588252368,186.25285484323337,254.4978291189243,243.81679469538696,251.96674885840318,127.95039930069876,179.85422184992868,202.3383131902843,179.60802684261012,202.22174156247561,210.66139024394047,278.42536530992487,267.0570558061064,278.96325892871533,175.34966857010863,203.37076190350464,202.66664439173653,181.56983654653547,203.09999024802067,211.02596499930294,277.3319303339692,266.1708112861072,281.71577000813363,173.3781385096065,203.2745623106956,,,175.8523466307009,142.25529640866256,171.77468711329547,183.31704773769007,252.69517636936416,241.80393893641175,250.99168455596984,121.78779414660215,176.667675172573
0.23416988416988416,,201.4840095355479,183.96373793196273,203.06502329859396,209.77048673646334,271.8734200055152,261.40797960622956,286.0435970890899,163.73922373615142,201.24911223631455,,203.203464011376,186.70372259348775,204.9187009450039,211.4676550761552,273.3778487845724,262.9130919674372,288.23427792974303,166.08518599517149,202.93683893257162,,,175.74196253313957,139.55997643833211,171.66096606622236,183.21807042615166,251.92631785892087,241.07476901345763,247.8705590401489,,176.7131525720663,,,185.74431781059792,157.6834937897819,184.83579241841494,193.84045579319297,259.2899449553884,248.6380482098034,262.9832823713237,139.9768918443813,186.13386555404128,,,182.9854706530463,152.52976018095643,180.1736524687657,190.2810113246924,255.88574550983657,245.49064458668573,255.45099413343527,135.38511388324466,183.6717904066784,208.8562140625905,190.13498302385653,208.86093625526584,216.64987350766702,283.1839435427575,271.96374329009956,285.7387665133775,182.6263443338082,210.04097085177548,209.03587517103531,191.98616696127746,209.71038729693447,216.92881616961614,281.6788122083565,270.69026092629923,288.82458981724653,181.72033898732346,209.659422727258,,,179.51006059915647,148.24788988210798,176.6879937972178,187.05258472722244,253.87534165241127,243.26198188995906,254.41765605234153,131.53001903801047,180.17481424514736
0.2648648648648649,,206.4852369624917,192.53422518481707,208.4797416723403,214.4780184599145,274.54074572012195,264.32382242569565,292.53470712549677,172.40733792634364,206.09353891688,,208.33196358245345,195.2283112837908,210.43919959669407,216.2815943057949,276.1844883446831,265.96432412758946,294.9165412786327,175.01140354215792,207.90796350779226,,,178.8928973721752,146.15491277271093,175.8497286716879,186.41355394076857,252.9206189625585,242.30800009874463,250.44808154914728,123.92661450712654,179.76690507567298,,,189.63308670662514,164.44464724097216,189.44538122838114,197.62431091634213,260.90575744118365,250.5054916067915,267.19880425831536,146.69221787400355,189.9072381102231,,,186.67345494959076,158.38980549836074,184.7971922627918,193.95565280278163,257.1970977339406,247.05161840907027,258.79796572670057,141.46797829348546,187.23083872983096,215.02561380853567,199.0349824004128,214.95456362763167,222.1820941142208,287.81678764360527,276.73494761224293,292.1820947330574,188.3665097499512,216.39697734759403,214.99535060128804,200.73757210287496,215.75919695263045,222.352084469351,285.8580924280706,275.0217813567407,295.57205391989606,188.342601404838,215.64970686215545,,,182.91292640675692,153.9284977527817,181.05525186046265,190.45498960122055,254.97135416793574,244.6212034809716,257.7202764907328,137.6300847882667,183.45063752352158
0.29555984555984555,,211.10457934623207,199.79392702787283,213.42613098808593,218.78672872754538,277.0364603685081,267.02878717379684,298.6181503741875,180.4994257317674,210.5636083139132,,213.0666353522264,202.4423728264465,215.48748153207595,220.68743474069885,278.8079979896875,268.7971053925807,301.1606896555956,183.21042122850577,212.49334375509758,,,181.85023725157475,151.46512317588503,179.615030319678,189.35086606419856,253.86238871232564,243.476082604573,252.93855029212273,132.16743634719631,182.64573418591473,,,193.25912079256815,170.8268084103308,193.5949306877775,201.09698329419385,262.41370814468377,252.25043874500932,271.2440225496074,152.84285058797866,193.42809857355957,,,190.1107577065115,163.9767328312688,188.95388026941396,197.33111621595154,258.43996261258684,248.510197507161,262.01088653945703,146.8491086301699,190.55636439802927,220.89656849008952,206.63946609252653,220.62031914798595,227.3307212837442,292.3253031146627,281.3800701992187,298.3048994122658,193.41949383103463,222.48416532433757,220.59338156627007,208.19993999253765,221.35702766353927,227.3670840729534,289.88304273723986,279.18559481123253,301.9565672008824,194.07689840436285,221.29278671050776,,,186.08947022757206,159.3095776403933,184.97105444522495,193.5762790000699,255.99058245815684,245.89010288351903,260.9008508611555,143.11727769813928,186.5159478087474
0.3262548262548262,,215.38156961075225,206.0418283912708,217.97973265932345,222.74940952543704,279.4275922619564,269.54660452510205,304.2731013218838,188.01394327423282,214.70074410157895,,217.44866083117205,208.6688395069105,220.137717852347,224.73914760257628,281.3241763535412,271.4367930165642,306.9520444900444,190.87643780917938,216.73675942970416,,,184.63420004212998,156.5209638939761,183.02415660334376,192.06720184296674,254.755754105416,244.5840115143327,255.34310591898657,138.23410084450228,185.36393970183153,,,196.64834181397612,177.2710715738324,197.3765827411508,204.30244095039848,263.82321756735377,253.88340041991287,275.1234988400036,158.64390590184445,196.7187670488441,,,193.3237117817689,169.3008229325116,192.72595291431566,200.4495933055076,259.62173807865406,249.87564597454238,265.0942828465937,151.78385435156807,193.67023096790484,226.5109661968689,213.27347000116092,225.9367571806179,232.1529478188518,296.7077800009747,285.9020538444798,304.11167239452925,198.4334765924108,228.34003389987194,225.87129088919264,214.717715713043,226.57747363946373,232.0293957486683,293.7622610815229,283.19651455309327,307.96972591675166,199.67445521645274,226.63163735533874,,,189.0627830389372,164.43608174481437,188.5163638192421,196.45665496362182,256.94257307456934,247.07628631460648,263.962316542111,148.08556262419629,189.38909031723102
