O/F,N2O/RP-1,N2O/N2H4,N2O/ETHANOL,H2O2/RP-1,H2O2/N2H4,H2O2/ETHANOL,IRFNA/RP-1,IRFNA/N2H4,IRFNA/ETHANOL
0.05,,217.13704971439518,,,219.50991921792152,,,219.25517969118349,
0.0806949806949807,,221.83353047057182,,,225.61398378482681,,,225.25862109882695,
0.11138996138996139,,226.4239353034948,,,231.48081911443333,,,231.05385918724457,
0.1420849420849421,,230.82883672839355,,,237.02468563400294,,,236.53133192540471,
0.17277992277992277,,234.99633146393282,,,242.20716117921103,,,241.65679080801243,
0.2034749034749035,,238.9284214821991,,,247.0424698914008,,,246.43822741416244,
0.23416988416988416,,242.61619396240326,,,251.5466090003971,,,250.88603377146129,
0.2648648648648649,,246.0851374028996,,,255.74034896134344,,,255.02964530386836,
0.29555984555984555,,249.3411062287225,,,259.6543998895041,,,258.8945997732044,
0.3262548262548262,,252.39961353549634,,,263.30860414165613,,,262.50511737407567,
0.35694980694980694,,255.2757404264692,,,266.7254830209505,,,265.8784783233821,
0.38764478764478766,,257.98845247961,,,269.93540603481904,,,269.03960309163807,
0.4183397683397683,,260.5460713775087,,,272.9368174380188,,,272.0014900539141,
0.449034749034749,,262.955606079106,,,275.76109597266714,,,274.7801674294792,
0.4797297297297297,,265.2425531653467,,,278.4179606140642,,,277.3899722910198,
0.5104247104247105,,267.40204497953323,,,280.9154686907917,,,279.84373686872254,
0.5411196911196912,,269.4478672557535,,,283.28095161125566,,,282.15301142481485,
0.5718146718146718,,271.3930935407621,,,285.50440751189603,,,284.3281411240896,
0.6025096525096525,,273.2299692262475,,,287.6058183541595,,,286.3784484847435,
0.6332046332046333,,274.9852614239608,,,289.59391484730713,,,288.31233947002653,
0.6638996138996139,,276.6498645023392,,,291.4766211720449,,,290.1374058689705,
0.6945945945945946,,278.2343214722289,,,293.2611340738923,205.33325825312727,,291.8499254990941,
0.7252895752895754,,279.7384958209916,,,294.9540048222795,206.51318082711379,,293.47724363786676,
0.755984555984556,,281.1824039417852,,,296.55584413498167,207.65156512504228,,295.00378870187336,
0.7866795366795367,,282.54961472937276,,,298.0774430366057,208.7603863506015,,296.44526129140934,
0.8173745173745174,,283.8542573741855,,,299.5183914931298,209.83634124676414,,297.8116604161993,
0.848069498069498,,285.0998242812536,,,300.88861938440704,210.88345598713389,,299.0910325779732,202.6849926819787
0.8787644787644788,,286.28963769579553,,,302.1924082980102,211.9135635987398,,300.3033367274373,203.59687486984714
0.9094594594594595,,287.4266474491092,,,303.43360651731433,212.92302333867963,,301.4465576587541,204.4977054613525
0.9401544401544402,,288.5136003452208,,,304.61576781380825,213.91991483786487,,302.51285217264365,205.3928637625348
0.9708494208494209,,289.5530618068175,,,305.73121513727637,214.9049175132494,,303.51569622109207,206.29585399133305
1.0015444015444015,,290.54208021868595,,,306.79388424540036,215.8903541385296,,304.45791256295394,207.2098550652414
1.0322393822393823,,291.48811613711644,,,307.81207772728436,216.87376949494902,,305.32938271814857,208.1393455629057
1.062934362934363,,292.38788776477327,,,308.7723886980317,217.86509889500147,,306.15407943144294,209.10611744971854
1.0936293436293436,,293.2592456701227,,,309.692562325803,218.8713058152766,,306.911273333915,210.1117053199581
1.1243243243243244,,294.08263528460606,,,310.5698864834025,219.90065367160665,,307.6125264351411,211.17693425382242
1.155019305019305,,294.87033766626337,,,311.39529353660487,220.96314709452113,,308.25796628778306,212.32816760476507
1.1857142857142857,,295.62387505888347,,,312.18167948616554,222.07106248154795,,308.83601175231047,213.5990242551092
1.2164092664092665,,296.34468459339513,,,312.93074130467,223.24363974121056,,309.3563272218514,215.02334000974687
1.247104247104247,,297.0340803605899,205.76656382433382,,313.64401554835297,224.4952236250964,,309.816571614802,216.65215446556994
1.2777992277992278,,297.68253395106865,206.4497854523284,,314.32291427489014,225.8514882282604,,310.20213858481566,218.51818423857122
1.3084942084942086,,298.3127517822599,207.1445330344328,,314.96870085738794,227.33951663868194,,310.52980582569614,220.632472361947
1.3391891891891892,,298.90422618939033,207.85086925071488,,315.5713350685181,228.9746458164978,,310.7592214985142,222.94880634599264
1.36988416988417,,299.4795758224642,208.58113050091845,,316.14295450402176,230.7647732325867,,310.91347704322163,225.38736813663482
1.4005791505791507,,300.01810621104016,209.33301968754398,,316.6844249115885,232.6978719311466,,310.9575028356651,227.85986457516105
1.4312741312741313,,300.53149147380043,210.11304085178898,,317.19644086840054,234.74926299616808,,310.8750507201227,230.31072786381506
1.461969111969112,,301.0205507728382,210.93693484355077,,317.6795759866025,236.856857968695,,310.6585114809588,232.70990043111578
1.4926640926640926,,301.4860256016272,211.81035793765002,220.03892944982948,318.13422500783656,238.97786222550883,,310.2674843810943,235.03947881415408
1.5233590733590734,,301.92860118320266,212.74077043957809,220.6663094892956,318.54939345948446,241.08893276932386,,309.72180080365166,237.29449634596864
1.5540540540540542,,302.34890662479165,213.75338695672983,221.29535912175896,318.93633607517137,243.1611980096359,,308.9856288278173,239.46993107145863
1.5847490347490347,,302.73659998940286,214.85089361722976,221.9195731913175,319.2948659251364,245.18345342034402,,308.09168438559055,241.57578865541913
1.6154440154440155,,303.1140134150165,216.05557131493495,222.54880130803193,319.6245524568321,247.15477488083238,,307.06239915666856,243.60560257608444
1.646138996138996,,303.4597715915903,217.37832360148457,223.16842054319366,319.9246748237658,249.06872658679154,,305.9152751182446,245.57077889157927
1.6768339768339768,,303.7961339028521,218.82220578075476,223.79674341856818,320.18291556970877,250.92066843476368,,304.6785924340277,247.46970649421715
1.7075289575289576,,304.10157409409845,220.3784559895381,224.42761794295768,320.420336523404,252.71602873834348,,303.387419846761,249.3051148387571
1.7382239382239382,,304.38733062997824,222.0176779179991,225.0674653063086,320.61251123257017,254.45629269627864,214.38644369504783,302.06079963049507,251.07966588900078
1.768918918918919,,304.65363590588566,223.71879366664496,225.71468077988843,320.76826458968304,256.14323145594733,215.05126126055208,300.7023000797164,252.78683324169276
1.7996138996138997,,304.9006843139183,225.4434164640531,226.37630494254847,320.8733248591304,257.77872154756926,215.74225697315325,299.3329356397262,254.44716704391976
1.8303088803088803,,305.1286036683608,227.17060461126889,227.0514344660418,320.9465958966133,259.36467481495094,216.47463824793962,297.970590955364,256.0447685183988
