O/F,LOX/LH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
0.05,,160.7197065235404,,148.9699084166342,167.02444235189236,250.84550258368319,239.4892202047834,241.19121105325593,,162.50160873531908,,161.3179738214388,,149.7832235845673,167.74846599561445,251.34299974507508,239.91568257763106,241.74555145754732,,163.0357138449073,,,151.6379869719229,,134.49247519836933,155.96364808583837,242.62749591315418,233.59338002919867,232.15170660651987,,154.7582177994928,,,155.13034972508598,,140.95575802476728,160.2243297932849,245.90564029169045,235.75337546851512,235.63725366407618,,157.6593550494303,,,153.9701021694483,,139.59877025790402,158.47261482771353,244.27574570232605,234.9372075373434,234.01028094395653,,156.90188043034198,162.38416024349146,,149.69825152626441,168.89275530667067,251.83237540955255,241.22219131739706,241.32336241613868,,164.21450399277728,162.70995011529772,,150.74672644000893,169.32697703701922,252.25085144126686,241.29264274313493,242.0402014940171,,164.4430754172824,,,152.94477612069954,,137.98128330832884,157.47160155732493,243.95340037102213,234.30803117670447,233.63625965869772,,155.86921938829272
0.0806949806949807,,169.91614686478198,,162.43192097709615,177.65575885457426,256.47556949951763,244.380328208558,249.66521100666395,,170.9366352638549,,170.7630240441373,,163.69464570613687,178.63398387411124,257.1199469169852,245.0324458146762,250.5450631570547,,171.7302177342316,,,157.00187681950504,,143.46745307129996,162.26205653340455,245.27217400867514,235.37198370074705,235.16943911775564,,159.39548411971012,,,162.00695667321264,,150.92026369231775,168.31543440844467,250.0042191167036,238.6857303476448,240.77209445921196,,163.74313022230973,,,160.44915617790474,,148.54038904169028,165.90387397418854,247.69918426808783,237.41262132426363,238.1157463117497,,162.63130245450458,172.467219095048,,165.14865792886673,180.46018375243818,259.10812058725435,247.2955651380124,249.77863800838938,,173.66189780934565,172.87675066342092,,166.0539517417732,180.962031880482,259.4289489799947,247.31912122416864,250.94368291235494,,173.9542792018113,,,158.8961459840413,,146.71466991606871,164.41606434219906,247.1564043885569,236.44793894703128,237.56229794516122,,161.05928045858505
0.11138996138996139,,177.93985722477817,141.11584974410442,174.17965186712976,186.40548942156892,260.56181930584273,248.84128367181683,257.8826244994739,,178.54620738259624,,179.00363263412632,142.8840160104695,175.6280662629585,187.57105547722264,261.40966606677483,249.69748570691564,259.06708017719865,,179.56736364819912,,,161.7799074012811,,150.4133617880796,167.79483849941025,247.6133594972953,237.03897736659488,238.13184175936416,,163.67744030838583,,,168.0511173805301,,159.66823482874725,175.2178251109518,253.20631438133242,241.39500417105634,245.79799269413846,,169.30209531673378,,,166.1919611695619,,156.22317008565562,172.36373693393614,250.61558194005877,239.69442680361377,242.11641782635908,,167.8725177775035,181.36782471791818,138.24815655536534,177.56327256643175,190.05988649202675,265.03268086635137,253.04194513499158,257.93952967921786,138.7618773375805,182.3185290911668,181.82469895467787,141.51831980637854,178.52271796120652,190.56668912698336,264.839133769049,252.94965861157286,259.53682311016775,134.69441226468666,182.62070948446848,,,164.16660782912766,,154.02434078873156,170.45121853100022,249.79953177902502,238.42573770491884,241.41586849730302,,165.82078895893966
0.1420849420849421,,185.12476047078567,153.73101257770887,183.729108506826,193.84510560426082,264.30022382623645,252.9242402702515,265.7762369152811,134.73111760156814,185.46308331944235,,186.38292562452312,155.62188278373654,185.29412641371346,195.16913836547374,265.33440548066216,253.96634669799502,267.24375647381305,136.71842673850622,186.6852672897595,,,166.10094644269498,,156.6049983421175,172.6905592075322,249.64880900838492,238.60469934347284,241.0271787975462,,167.65634220928146,,,173.4818073202325,132.69432527403725,167.83412992482133,181.1827173791557,255.44572382081714,243.9044491550796,250.68131832254616,,174.41896643875643,,,171.3641441900881,130.36967411411115,163.38172381216262,178.03674690136745,252.9275228318312,241.803539940329,245.99625314156117,,172.69592084080335,189.454146641487,154.3253392535045,187.71090148182574,198.31542199060723,270.2728252147999,258.51979295688955,265.7592856511205,155.0587172379172,190.34810978552312,189.9207517518632,157.27412786414897,188.65741185705588,198.80010745748643,269.85989293185366,258.2429485086303,267.7637560777627,151.4455250700386,190.59730145581543,,,168.91335349715462,,160.82068629076448,175.7446442190269,251.7566245263846,240.2575966407646,245.17567969113554,,170.2162688350751
0.17277992277992277,,191.64386328032023,164.75645486458953,191.6837158996628,200.34812911704313,267.7310299024934,256.67234861146403,273.3195411540816,146.14147175601448,191.7768669095706,,193.07697894691614,166.95840272601257,193.3471670299103,201.81427179948142,268.93697072875426,257.8848393933913,275.0480957035786,148.02819271700156,193.17727581627182,,,170.05588465731492,,162.64873152913523,177.0522979193432,251.3444668664725,240.07817995497584,243.846648742118,,171.37027007793566,,,178.43195446970327,143.74003058683073,174.826375416571,186.41440248293154,257.47078020722336,246.23394916053354,255.40241317556155,119.99751990286634,179.15025358395738,,,176.07700944956494,140.8445633768276,170.1534855872469,183.06856977139861,254.74451556071173,243.75799342376783,249.74379286483855,,177.1539279917368,196.9215510715695,168.05713314521688,196.2522672849195,205.62488258211192,275.3278934330469,263.7760099877566,273.2194595046551,167.12459533237202,197.85921928338092,197.35290697107467,170.47347921266595,197.1727205133181,206.067422765726,274.628396780299,263.24709131445394,275.6048943986373,164.3239004514335,197.98478250061655,,,173.2420097103375,135.7186352681896,167.22096912384697,180.4311505567841,253.17720191224996,241.957581603182,248.82635002517904,,174.29094604337786
0.2034749034749035,,197.60218030454217,174.9774721766148,198.53041370586868,206.1408680005292,270.8883024145292,260.1222043623581,280.508426013444,155.88627895026485,197.55766654390987,,199.19285680212428,177.51015309677513,200.29607004805962,207.73621437708798,272.25356762108123,261.49177533631223,282.47815878260405,157.99880251516822,199.11669408251686,,,173.70871756431063,132.01388439935056,167.9961378174883,180.96935427223602,252.60187316156,241.4673666597264,246.58356040575904,,174.84844816802902,,,182.98578563442743,151.53259980694105,180.86403505213138,191.0716119885015,259.35190651896954,248.4006915640972,259.95044652980226,133.09240869992158,183.53857289922658,,,180.40715298352907,147.4077497237465,176.1034355296289,187.57477385948494,256.2897929164523,245.57342422148167,253.3546610226788,128.83808669595646,181.28809841639625,203.88996546243035,180.59269796970142,203.70709373804567,212.2245176926396,280.22741638161426,268.84775329781587,280.3204788788426,176.7113330113242,204.93296934864034,204.23417277507392,182.5872975233166,204.60333761702063,212.60469286762572,279.18026126595265,268.00207379171087,283.06150127780853,174.6750414916238,204.85910436120446,,,177.22442389714232,143.45832019825303,172.8699568257032,184.61957223100583,254.46316052737296,243.53800284835657,252.35917252892565,122.51095049083973,178.0798831734407
0.23416988416988416,,203.0732362857967,185.05124913502883,204.59004474481296,211.3656413995283,273.8016528553564,263.30560570314015,287.3485882985008,164.92759439627125,202.8645077390576,,204.80598212314746,187.8294823968446,206.46153553126365,213.07872548273536,275.31571130017704,264.8209137171362,289.5394790511499,167.27946178417153,204.56542083340472,,,177.1053989080516,140.38715409155242,172.7530859475579,184.51385835547313,253.66016898236785,242.77930100097288,249.23522283163587,,178.1143239716189,,,187.20054585605246,158.78861291540872,186.1376107234133,195.27002241727897,261.10257000611824,250.4196715584339,264.32199180477744,141.07020363667556,187.61844048299733,,,184.40970071428887,153.65957995911262,181.3670213459563,191.64950787898525,257.6931575402331,247.26346259021906,256.82615495517274,136.6259285174799,185.13281559332586,210.44255916223727,191.25582691744876,210.40663329321987,218.26233896779888,284.98973421493866,273.7627403077494,287.0736293804585,184.1143844216756,211.6344579485937,210.6427064125192,193.14938335570284,211.2733217892377,218.55863469074006,283.5429322622517,272.54088538979136,290.14659723113135,183.117969653559,211.28268957744146,,,180.9113829835011,149.3390518901856,177.8573610964213,188.39983319241415,255.65638402260265,245.00969846399977,255.76955627982807,132.49397788664498,181.6117377664708
0.2648648648648649,,208.11385419694585,193.75506682075175,210.0552693598816,216.11865989828576,276.4974822297621,266.25082379421747,293.8338539547546,173.5899049878749,207.74887375372637,,209.9749874119111,196.4910393002284,212.0320795791246,217.9391244583755,278.15157262553964,267.9023452364159,296.2206771904079,176.21581354745416,209.5775857026097,,,180.27997390441396,147.15170147546138,177.00543352272808,187.747171207004,254.66111896230498,244.02024832044432,251.7993260125108,124.60660628692644,181.1873914733767,,,191.11803719862274,165.55569417807013,190.81037304982894,199.09254639397733,262.73459274698075,252.30408662971337,268.5185732635709,147.79987328153018,191.41910358190083,,,188.12629735129016,159.53373731930648,186.05829075506315,195.364453541779,259.0190081197063,248.84005154404971,260.160482630341,142.56352816197182,188.71730275982304,216.64233796844593,200.29420242261,216.54791353367227,223.8390431179941,289.6235247871363,278.53927648835156,293.4950038412102,189.9236639895765,218.0179897282683,216.63835964844213,202.04165829325538,217.37021213278803,224.02855996221447,287.73628418836404,276.88997705013185,296.8748162950552,189.85629538260534,217.30925150053108,,,184.3405342117873,155.04214819518825,182.29125025782696,191.84071838677966,256.765197473358,246.38225497310486,259.0563812250423,138.67206201683635,184.91079106640873
0.29555984555984555,,212.7706758763141,201.13540494729156,215.04464940066615,220.4695885351038,279.01949543942067,268.98344624424413,299.9344619420587,181.74045356170114,212.25655998821566,,214.74821338326055,203.82394415848657,217.12333250805716,222.3881597641657,280.8019523725544,270.7633813849074,302.48737207361563,184.46928012077052,214.2014684505112,,,183.2585581350726,152.49685281071277,180.82855611505136,190.71732393318518,255.60935755175603,245.19581333253834,254.27654494459247,132.99175156624128,184.08430048779806,,,194.77070557006593,171.93619943963677,195.01121253236352,202.59948841375825,264.25845614707407,254.065652028209,272.5447826150098,153.9806715740146,194.96600263895246,,,191.58978987217102,165.12552994037128,190.27430837047729,198.77527583528118,260.2754675020756,250.31370088798406,263.36062882120694,147.98283677934143,192.06681243101957,222.53997869480398,208.020282210693,222.25286305504252,229.02853096585022,294.1306829944028,283.1871484657953,299.59985032299454,195.01579975081907,224.12935357926975,222.2700950346573,209.62140669324486,223.0086614529623,229.0868847051094,291.77371623250633,281.06960384570675,303.2520590600682,195.65242216198897,222.98627038122595,,,187.5410962038489,160.4304514994971,186.26533729557983,194.99560535405294,257.7969850348431,247.66419645496242,262.220997012827,144.21291617154915,187.9981002503212
0.3262548262548262,,217.0834179187523,207.48113826396587,219.6362874524169,224.47178751485419,281.43344976162933,271.52685852299317,305.62325320006585,189.29673196928232,216.42876195810726,,219.1669802126025,210.14368198482063,221.81186955549018,226.4802953238968,283.3412163782703,273.42901444249367,308.31633541203166,192.1747670637191,218.48058458412282,,,186.06186807872962,157.58158291542776,184.28868093314995,193.46249492820596,256.5090444830642,246.31102855407792,256.6678572216861,139.24174185528514,186.81955522103837,,,198.18494058735354,178.27513047277014,198.83493946052198,205.83598553449644,265.6835389140058,255.71485474538957,276.4063455528817,159.8003483446571,198.28162066666695,,,194.82698924395845,170.4500184454899,194.09609652160944,201.92523800448336,261.4699633486421,251.6936975420322,266.43116569373245,152.94474793693962,195.20339768064213,228.17779766118684,214.74931507828614,227.60245253787411,233.88865039230666,298.509560121942,287.70971362630917,305.39755680384627,200.05303992248744,230.00640093375563,227.57963776867774,216.22878502819958,228.26457515350964,233.7897188342547,295.66384786968445,285.0945100275128,309.2735423067556,201.27689480704237,228.35651910665277,,,190.53664425072265,165.55777786022023,189.8592266903268,197.9058014569283,258.76123075297164,248.86313821122567,265.2664162757593,149.21128494499743,190.8921932970233
