O/F,N2O/RP-1,N2O/N2H4,N2O/ETHANOL,H2O2/RP-1,H2O2/N2H4,H2O2/ETHANOL,IRFNA/RP-1,IRFNA/N2H4,IRFNA/ETHANOL
0.05,151.63783662328933,232.14827685484684,155.96156194286087,153.97062788913675,234.01175624770352,158.47267920819587,152.94347948351825,233.63444317453084,157.47051333386364
0.0806949806949807,156.99997733269947,235.1673137568267,162.25951416723956,160.4452748519518,238.12001378278836,165.90367363203143,158.89629571641743,237.56075722023996,164.4134824906102
0.11138996138996139,161.78122309683135,238.1316470921936,167.79192308821916,166.18956288113645,242.11423545443466,172.36703691605044,164.16725197786897,241.41301187288454,170.44796135178814
0.1420849420849421,166.10378750045155,241.028526969741,172.6894803264677,171.35975206824847,245.99809302787227,178.04004520037728,168.91346878515006,245.1737343411976,175.746075153517
0.17277992277992277,170.0515744786625,243.84476747665326,177.0553539906438,176.07658201691703,249.74130140458558,183.07216382863572,173.23992781333268,248.82305102766804,180.4277846833474
0.2034749034749035,173.7058594204275,246.58714419322942,180.96969200266054,180.40469151478095,253.3541876182192,187.5740166905034,177.22047788612423,252.35883855842445,184.62343228871686
0.23416988416988416,177.10549140230745,249.23733197488215,184.5129843702444,184.41205372720336,256.82698826408114,191.65006727037894,180.91328218666018,255.76887950427846,188.40174870782906
0.2648648648648649,180.27950866561702,251.80112798968688,187.74421369297377,188.12581821460944,260.16296793150553,195.36258325264063,184.3413083752091,259.0524344640487,191.84298282253874
0.29555984555984555,183.26080015647784,254.27999546345418,190.72076413743673,191.58667710820234,263.3577720701596,198.770980040247,187.54109923389163,262.2193290277172,194.99304083502355
0.3262548262548262,186.05754800114966,256.6676245597841,193.4646210039007,194.831104979767,266.4332153568548,201.92479913655728,190.53468496182296,265.2641362127677,197.9101411255978
0.35694980694980694,188.70611988169077,258.97474851647166,196.01283629367148,197.8591569986961,269.37817394835713,204.84902182829592,193.35172052795556,268.1984958672992,200.6006757913906
0.38764478764478766,191.20946598159983,261.2045554325385,198.39232977121813,200.71180262810825,272.2066150585781,207.57439549104143,195.9869641798965,271.01726272172897,203.11058063521574
0.4183397683397683,193.5791390033703,263.35204927831506,200.62646096741474,203.39462877310203,274.9152704338824,210.1157321782181,198.47668246378495,273.7234892144072,205.4594711435813
0.449034749034749,195.82534248756514,265.42043271575136,202.71283376856948,205.91645997319978,277.52662001056115,212.5083824994331,200.82280405218813,276.33336964444,207.66380808748568
0.4797297297297297,197.95718946610359,267.42137022955933,204.69268200716976,208.30764575870063,280.0282642710471,214.74932728058877,203.03679245496429,278.828730676881,209.72573629450793
0.5104247104247105,199.99419202393503,269.3495548509434,206.55366038314503,210.56240528706294,282.4162867576835,216.869610872298,205.12896717610977,281.22708467834997,211.66899374496774
0.5411196911196912,201.9212930444633,271.216565891623,208.31668642786502,212.69690431582998,284.71378669184315,218.87447269609456,207.1202963792997,283.5028770124187,213.50410094488802
0.5718146718146718,203.76797718773813,273.01679138206254,209.98996471221335,214.7265064952314,286.89979606586456,220.76130007012767,208.99605413188934,285.67113078093104,215.2342055601163
0.6025096525096525,205.52911587246723,274.7487598129515,211.5807272046819,216.6536843365668,288.98941228214943,222.55109079682296,210.78729573189216,287.7297158778498,216.87345995264712
0.6332046332046333,207.21037324506858,276.4197269034749,213.09539280263417,218.4798792725658,290.97091046363727,224.25160186474795,212.47741801223245,289.67655283159326,218.42295544558777
0.6638996138996139,208.81695622349517,278.0327711610705,214.52752746957776,220.2303873385946,292.86887092980237,225.8838809913497,214.09657918020005,291.5275301415688,219.90768443248137
0.6945945945945946,210.35962170767232,279.5822673360209,215.90654485940118,221.886773638854,294.6621517156511,227.44200556963096,215.63268952577909,293.2801615496232,221.30873190374007
0.7252895752895754,211.83693131923252,281.07144367653893,217.21268566986168,223.47956330011453,296.37502500893385,228.9468526425301,217.09705030645947,294.9406173660241,222.6436906031856
0.755984555984556,213.24694306486805,282.50361262179877,218.4685343960171,224.98888157851096,297.9947008224444,230.3941287721015,218.50068505143346,296.51467244496695,223.91731955547723
0.7866795366795367,214.61157403916368,283.86868499186636,219.6718070692359,226.44465611211956,299.5449461905668,231.79437799643077,219.82965954960085,298.00769030793504,225.13473551182398
0.8173745173745174,215.9101138151232,285.1877747539477,220.81975155919312,227.82581997021632,301.01212200476397,233.14481755479338,221.10650687672256,299.42463791889094,226.30139879837986
0.848069498069498,217.16403937661974,286.4505768889344,221.92173844365556,229.1618183988731,302.41938999493044,234.44218244335804,222.32883629273533,300.77006556116316,227.44790001116007
0.8787644787644788,218.370405525854,287.6556454363893,222.98079137531323,230.43067324040732,303.7523882434482,235.71636985030327,223.49392910761475,302.0389724810055,228.5530386957588
0.9094594594594595,219.52578965933066,288.819354605466,223.99959230740845,231.65499569172817,305.024340919996,236.9438489767745,224.61117262272919,303.25384121268064,229.6192930713427
0.9401544401544402,220.65153120523013,289.9262990575829,224.96790002860092,232.83141165324682,306.2388938706461,238.14092528671154,225.69622478654617,304.4001599997183,230.66292512660564
0.9708494208494209,221.72513441723294,290.997190051656,225.91348096024313,233.9561707637923,307.39942604458497,239.3105288338465,226.72649904447513,305.49878567213557,231.68742441739775
1.0015444015444015,222.7613754031381,292.01620907096463,226.8257851587596,235.04500652976358,308.50907211600105,240.44186117810156,227.7171510495996,306.5346644424212,232.696381546878
1.0322393822393823,223.77514202035636,293.0038645584827,227.69390348197885,236.0937866007422,309.57124837079334,241.55820490585552,228.67051803196867,307.5199622290213,233.6803519813247
