O/F,LOX/LH2,LOX/RP-1,LOX/CH4,LOX/C2H6,LOX/ETHANOL,LOX/MMH,LOX/UDMH,LOX/N2H4,LOX/NH3,LOX/JP10,GOX/LH2,GOX/RP-1,GOX/CH4,GOX/C2H6,GOX/ETHANOL,GOX/MMH,GOX/UDMH,GOX/N2H4,GOX/NH3,GOX/JP10,N2O/LH2,N2O/GH2,N2O/RP-1,N2O/CH4,N2O/C2H6,N2O/ETHANOL,N2O/MMH,N2O/UDMH,N2O/N2H4,N2O/NH3,N2O/JP10,N2O4/LH2,N2O4/GH2,N2O4/RP-1,N2O4/CH4,N2O4/C2H6,N2O4/ETHANOL,N2O4/MMH,N2O4/UDMH,N2O4/N2H4,N2O4/NH3,N2O4/JP10,H2O2/LH2,H2O2/GH2,H2O2/RP-1,H2O2/CH4,H2O2/C2H6,H2O2/ETHANOL,H2O2/MMH,H2O2/UDMH,H2O2/N2H4,H2O2/NH3,H2O2/JP10,F2/LH2,F2/RP-1,F2/CH4,F2/C2H6,F2/ETHANOL,F2/MMH,F2/UDMH,F2/N2H4,F2/NH3,F2/JP10,OF2/LH2,OF2/RP-1,OF2/CH4,OF2/C2H6,OF2/ETHANOL,OF2/MMH,OF2/UDMH,OF2/N2H4,OF2/NH3,OF2/JP10,IRFNA/LH2,IRFNA/GH2,IRFNA/RP-1,IRFNA/CH4,IRFNA/C2H6,IRFNA/ETHANOL,IRFNA/MMH,IRFNA/UDMH,IRFNA/N2H4,IRFNA/NH3,IRFNA/JP10
0.05,,,,146.01844322327184,,,,229.17996757227985,,,,,,146.90327948234665,,,,229.8774013686242,,,,,,,131.81979196509735,,,,217.13704971439518,,,,,,,137.41419499793335,,,,221.8676792731653,,,,,,,135.06875581159804,,,,219.50991921792152,,,,,,147.81079102957588,,,,228.61446904935545,,,,,,,,,,229.73506358527365,,,,,,,133.86858235671724,,,,219.25517969118349,,
0.0806949806949807,,,,,,,,240.85608701967845,,166.7740898923381,,,,,,,,241.9167956990359,,,,,,,140.47242032839355,,,,221.83353047057182,,,,,,,,,,,229.42573616636204,,,,,,,144.9823501090304,,,,225.61398378482681,,,,,,,,,,239.96530658719973,,169.93010986006385,,,,,,,,241.69347021353792,,170.41826411300724,,,,,143.28854020715718,,,,225.25862109882695,,
0.11138996138996139,,,,,,,,251.57162822982897,,174.6742001948779,,,,,,,,252.94915843004313,,175.63764454314773,,,,,,,,,226.4239353034948,,,,,,,,,,,236.621930339521,,,,,,,,,,,231.48081911443333,,,,,,,,,,250.48469892708553,,179.13987752200111,,,,,,,,252.71099366134771,,179.13084656709668,,,,,,,,,231.05385918724457,,
0.1420849420849421,,,146.28458873442315,,,,,261.3161341319265,,180.75592850630568,,,148.8183905811951,,,,,262.96011149446537,,181.87937104422102,,,,,,,,,230.82883672839355,,,,,,,,,,,243.34064920441045,,,,,,,,,,,237.02468563400294,,,,,151.238296212154,,,,,260.1199989395296,,186.94000065694215,,,153.1272946194656,,,,,262.7618710532981,,186.57367316551927,,,,,,,,,236.53133192540471,,
0.17277992277992277,,,,,,,,270.16539999378216,,186.09289484450403,,,,,,,,272.04055425139995,,187.35824371528375,,,,,,,,,234.99633146393282,,,,,,,,,,,249.564763806148,,174.85953869272728,,,,,,,,,242.20716117921103,,,,,,,,,,268.9537965174437,,194.22287314812962,,,,,,,,271.9287693015804,,193.3427308784397,,,,,,,,,241.65679080801243,,
0.2034749034749035,,,,,,,,278.22792203967424,,190.80468056226198,,,,,,,,280.30601908674146,,192.19500580637276,,,,,,,,,238.9284214821991,,169.17233847541235,,,,143.946949531839,,,,,255.32604541224188,,178.66119049258103,,,,,,,,,247.0424698914008,,,,,,,,,,277.06291076673074,,201.11456680207343,,,,,,,,280.3268746902011,,199.57158396420067,,,,,,,,,246.43822741416244,,172.10803274823567
0.23416988416988416,,194.31290320314216,,,,,,285.59202613933724,,195.00152378414379,,196.0784181017061,,,,,,287.8495391768056,,196.5116727363269,,,,,,,,,242.61619396240326,,,,,,153.26824048467188,,,,,260.6538824608862,,182.07074386716155,,,,144.55087072172506,,,234.73692032959926,,251.5466090003971,,,,205.3134513868081,,,,,,284.5478612216184,,207.6909260937468,,204.15712839111328,,,,,,288.040269520377,,205.369459442588,,,,139.99075945421086,,,,,250.88603377146129,,175.45053262333346
0.2648648648648649,,198.5344717926483,,,,,,292.331404779796,156.74554147505145,198.7646635251194,,,,,,,,294.74252076641454,159.05666170552573,200.38005776854342,,,,139.67234899457455,,,,,246.0851374028996,,,,,,,,,,,265.5977465873612,,185.15121151690562,,,,152.60788468159708,,,235.32902487241398,,255.74034896134344,,,,211.32275240001255,,,,,268.82522633040344,291.4661887893057,,214.03000798227387,,209.47085749092105,,,,,,295.15380937079004,,210.85033785429758,,,,147.9887404753508,,,,,255.02964530386836,,
0.29555984555984555,,,,,,251.99325265342435,,298.51144826297366,164.12793175856368,202.16732871130648,,,,,,253.8074464412999,,301.0631799856542,166.63452630194013,203.88256863603692,,,,146.6358469345535,,,,,249.3411062287225,,,,,,,,,,,270.1899472585476,,187.9474738865915,,,,,,,235.9372030892921,,259.6543998895041,,,,217.0950283298443,,,,284.56380054775286,274.42095431304404,297.884338241246,,220.19777238402025,,214.44060310639603,,,,,,301.7277206184776,168.32700075409,216.09615052265266,,,,,,,,,258.8945997732044,,180.93479844940512
0.3262548262548262,,,,,,253.88504750944327,,304.18033211273024,171.36143611688865,205.26456655346072,,,,,,255.85071753534314,,306.8499289615385,174.13719328141383,207.07629525297236,,,,152.6735726524187,,,,,252.39961353549634,,,,,,,,,,,274.45871004256344,,190.49377287691163,,,,,,,236.55085562462477,,263.30860414165613,,,,222.6872198472581,,,,289.9719035473228,279.88657249998124,303.85301823678526,172.3044271732694,226.23507306640437,,219.1629378108824,,,,,271.9654976273765,307.80972445133733,175.66584393975955,221.19701439436372,,,,,,,,,262.50511737407567,,183.19514324573706
